scan_num	charge	abundance	mz	fit	average_mw	monoisotopic_mw	mostabundant_mw	fwhm	signal_noise	mono_abundance	mono_plus2_abundance	index
2915	2	13400	428.7661	0.007	856.0375	855.5175	855.5176	0	0	0	0	4989
2918	1	3500	623.316	0.015	622.6915	622.3087	622.3087	0	0	0	0	4999
2918	1	5510	657.3577	0.01	656.7497	656.3504	656.3504	0	0	0	0	5001
2918	1	32900	694.3531	0.008	693.7692	693.3459	693.3459	0	0	0	0	5002
2918	2	20400	409.7169	0.005	817.9149	817.4192	817.4192	0	0	0	0	5004
2918	1	6770	818.4278	0.007	817.9162	817.4206	817.4205	0	0	0	0	5005
2918	2	12200	428.7668	0.006	856.0389	855.5189	855.519	0	0	0	0	5006
2918	2	7170	464.7523	0.013	928.0525	927.4901	927.4901	0	0	0	0	5007
2921	1	1620	623.3158	0.01	622.6914	622.3085	622.3085	0	0	0	0	5020
2921	1	2940	657.3577	0.021	656.7496	656.3504	656.3504	0	0	0	0	5022
2921	1	19400	694.3529	0.008	693.769	693.3457	693.3456	0	0	0	0	5023
2921	1	1850	781.4106	0.011	780.882	780.4033	780.4033	0	0	0	0	5025
2921	2	17500	409.7167	0.007	817.9146	817.419	817.4189	0	0	0	0	5026
2921	1	8340	818.4269	0.006	817.9153	817.4197	817.4197	0	0	0	0	5027
2921	2	10500	428.7666	0.006	856.0386	855.5186	855.5187	0	0	0	0	5028
2921	2	12300	464.7521	0.019	928.0521	927.4897	927.4897	0	0	0	0	5029
2923	1	10900	694.3532	0.018	693.7693	693.346	693.3459	0	0	0	0	5042
2923	1	2600	781.4109	0.004	780.8823	780.4036	780.4036	0	0	0	0	5044
2923	2	17200	409.7168	0.006	817.9149	817.4192	817.4191	0	0	0	0	5045
2923	1	8360	818.4272	0.02	817.9156	817.4199	817.4199	0	0	0	0	5046
2923	2	13000	428.7667	0.006	856.0388	855.5188	855.5189	0	0	0	0	5048
